かいほう,開放
かいほう,介抱
かいぼう,解剖
かいもの,買い物
かいよう,海洋
がいらい,外来
かいらん,回覧
がいりゃく,概略
かいりゅう,海流
かいりょう,改良
かいろ,回路
かいろ,海路
がいろん,概論
かいわ,会話
かう,買う
かう,飼う
かえす,返す
かえす,帰す
かえって
かえり,帰り
かえりみる,顧みる,省みる
かえる,代える,替える,換える,変える
かえる,返る,帰る
かお,顔
かおく,家屋
かおつき,顔付き
かおり,香り
がか,画家
かがい,課外
かかえる,抱える
かかく,価格
かがく,科学
かがく,化学
かかげる,掲げる
かかと
かがみ,鏡
かがやく,輝く
かかり,係り
かかる,掛かる
かかわる,係わる
かぎ,鍵
かきとめ,書留
かきとり,書き取り
かきとる,書き取る
かきね,垣根
かきまわす,掻き回す
かぎり,限り
かぎる,限る
かく,欠く
かく,角
かく,核
かく,格
かく,書く
かく,掻く
かぐ,嗅ぐ
かぐ,家具
がく,学
がく,額
かくう,架空
がくげい,学芸
かくご,覚悟
かくさ,格差
かくさん,拡散
かくじ,各自
がくし,学士
かくじつ,確実
がくしゃ,学者
かくしゅ,各種
かくしゅう,隔週
かくじゅう,拡充
がくしゅう,学習
がくじゅつ,学術
かくしん,確信
かくしん,革新
かくす,隠す
がくせい,学生
がくせつ,学説
かくだい,拡大
かくち,各地
かくちょう,拡張
かくてい,確定
カクテル
かくど,角度
かくとく,獲得
かくにん,確認
がくねん,学年
がくふ,楽譜
がくぶ,学部
かくべつ,格別
かくほ,確保
かくめい,革命
がくもん,学問
かくりつ,確立
かくりつ,確率
がくりょく,学力
がくれき,学歴
かくれる,隠れる
かけ,賭け
かげ,影,陰
がけ,崖
かけあし,駆け足
かけい,家計
かけざん,掛け算
かけつ,可決
かけっこ
かける,掛ける
かける,欠ける
かける,駆ける
かける,賭ける
かげん,加減
かこ,過去
かご,籠
かこう,火口
かこう,下降
かこう,加工
かごう,化合
かこむ,囲む
かさ,傘
かさい,火災
かさなる,重なる
かさねる,重ねる
かさばる
かさむ
かざり,飾り
かざる,飾る
かざん,火山
かし,貸し
かし,菓子
かじ,火事
かじ,家事
かしこい,賢い
かしこまりました
かしだし,貸し出し
かしつ,過失
かじつ,果実
かしま,貸間
かしや,貸家
かしゅ,歌手
かしょ,箇所
かじょう,過剰
かじょうがき,箇条書き
かしら,頭
かじる
かす,貸す
かず,数
ガス
かすか,微か
かすむ,霞む
かする
かぜ,風
かぜ,風邪
かせい,火星
かぜい,課税
かせき,化石
かせん,河川
かせん,下線
かせん,化繊
かせぐ,稼ぐ
カセット
かそ,過疎
かぞえる,数える
かそく,加速
かぞく,家族
かそくど,加速度
ガソリン
ガソリンスタンド
かた,方
かた,型
かた,肩
かたい,固い,堅い,硬い
かだい,課題
かたおもい,片思い
かたがた,方々
かたかな,片仮名
かたこと,片言
かたち,形
かたづく,片付く
かたづけ,片付け
かたづける,片付ける
かたな,刀
かたまり,塊
かたまる,固まる
かたみち,片道
かたむく,傾く
かたむける,傾ける
かためる,固める
かたよる,かたよる,片寄る,偏る
かたる,語る
かたわら,傍ら
かだん,花壇
かち,勝ち
かち,価値
かちく,家畜
かつ,勝つ
かつ,且つ
がっかり,学科
がっかい,学会
がっかり
かっき,活気
かっき,画期
がっき,楽器
がっき,学期
がっきゅう,学級
かつぐ,担ぐ
がっくり
かっこ,括弧
かっこう,格好
がっこう,学校
かつじ,活字
がっしょう,合唱
がっしり
がっちり,合致
がっちり
かつて
かってに,勝手に
かってに,勝手
かつどう,活動
カット
かっぱつ,活発
カップ
がっぺい,合併
かつやく,活躍
かつよう,活用
かつりょく,活力
かてい,仮定
かてい,家庭
かてい,過程
かてい,課程
カテゴリー
かど,角
かな,仮名
かない,家内
かなう,叶う
かなえる,叶える
かなしい,悲しい
かなしむ,悲しむ
